"Date","Price","Open","High","Low","Vol.","Change %"
"09/06/2023","605.1005","604.2076","607.0522","600.3424","","0.15%"
"09/05/2023","604.2076","598.9844","609.0023","595.5024","","0.87%"
"09/01/2023","598.9845","591.4241","600.3339","591.1649","","1.28%"
"08/31/2023","591.4241","586.7674","591.8768","586.0335","","0.79%"
"08/30/2023","586.7674","586.7269","590.0353","584.3025","","0.01%"
"08/29/2023","586.7269","585.1214","587.5120","581.0776","","0.27%"
"08/28/2023","585.1214","585.6177","588.2564","583.4865","","0.02%"
"08/25/2023","585.0185","579.0883","585.7938","577.9998","","1.02%"
"08/24/2023","579.0884","577.7474","579.5753","571.7596","","0.23%"
"08/23/2023","577.7474","578.1302","579.8675","571.7041","","-0.07%"
"08/22/2023","578.1302","579.5100","581.6280","577.3030","","-0.24%"
"08/21/2023","579.5100","582.0376","587.2798","578.9135","","-0.43%"
"08/18/2023","582.0377","577.1764","583.0364","574.8125","","0.84%"
"08/17/2023","577.1764","573.5581","580.7039","571.3829","","0.63%"
"08/16/2023","573.5581","577.4630","580.3991","573.3514","","-0.68%"
"08/15/2023","577.4630","586.3379","588.3643","576.1391","","-1.51%"
"08/14/2023","586.3379","590.7531","590.7531","583.8245","","-0.75%"
"08/11/2023","590.7531","591.3596","594.3025","588.7141","","-0.19%"
"08/10/2023","591.8981","597.0463","600.3182","590.8275","","-0.97%"
"08/09/2023","597.7035","589.9850","598.6685","589.6694","","1.22%"
"08/08/2023","590.5027","587.8811","591.0303","577.1867","","0.37%"
"08/07/2023","588.3205","591.2147","593.0932","586.3568","","-0.57%"
"08/04/2023","591.6858","587.4037","593.3087","587.2376","","0.73%"
"08/03/2023","587.4037","580.7089","588.7253","577.7130","","1.15%"
"08/02/2023","580.7089","591.6838","597.3952","579.0726","","-1.85%"
"08/01/2023","591.6838","593.3337","594.5178","589.1497","","-0.29%"
"07/31/2023","593.4022","590.9369","593.7573","587.2503","","0.42%"
"07/28/2023","590.9369","588.4094","591.4790","584.0579","","0.43%"
"07/27/2023","588.4094","585.2167","590.9835","584.4772","","0.55%"
"07/26/2023","585.2167","588.8663","588.8663","584.3216","","-0.62%"
"07/25/2023","588.8651","586.0481","589.7158","582.2927","","0.48%"
"07/24/2023","586.0481","574.7210","588.6258","572.9890","","1.97%"
"07/21/2023","574.7211","569.8866","575.4840","569.6489","","0.85%"
"07/20/2023","569.8866","567.8191","572.8840","566.0939","","0.36%"
"07/19/2023","567.8191","564.2046","572.5843","563.7779","","0.64%"
"07/18/2023","564.2047","555.8310","565.3636","555.1475","","1.51%"
"07/17/2023","555.8310","562.5178","565.6062","555.4310","","-1.19%"
"07/14/2023","562.5178","564.9940","567.5570","560.0683","","-0.51%"
"07/13/2023","565.4211","558.7432","566.2309","558.2730","","1.11%"
"07/12/2023","559.2236","557.1828","563.7980","556.8030","","0.28%"
"07/11/2023","557.6841","549.4614","558.0694","549.2420","","1.42%"
"07/10/2023","549.8888","551.3358","554.1457","548.7228","","-0.35%"
"07/07/2023","551.8415","544.1369","552.2330","542.5798","","1.42%"
"07/06/2023","544.1370","545.7594","546.9993","537.5668","","-0.30%"
"07/05/2023","545.7594","536.6595","547.7625","536.6595","","1.70%"
"07/03/2023","536.6595","540.4607","545.4278","536.3137","","-0.70%"
"06/30/2023","540.4607","535.5468","544.1768","534.8188","","0.92%"
"06/29/2023","535.5468","535.3771","538.4095","532.0575","","0.03%"
"06/28/2023","535.3771","533.7131","536.8530","527.9522","","0.31%"
"06/27/2023","533.7131","542.5435","546.0946","533.1615","","-1.65%"
"06/26/2023","542.6405","541.5641","547.1440","540.8403","","0.20%"
"06/23/2023","541.5642","547.0375","547.0375","534.7529","","-1.00%"
"06/22/2023","547.0376","559.9219","560.0908","544.5924","","-2.30%"
"06/21/2023","559.9219","550.6139","560.1093","549.6737","","1.69%"
"06/20/2023","550.6139","557.2189","557.2189","545.7570","","-1.19%"
"06/16/2023","557.2190","547.9683","557.4136","547.6590","","1.69%"
"06/15/2023","547.9684","533.3505","549.2031","530.9840","","2.74%"
"06/14/2023","533.3505","536.6394","541.1748","532.8233","","-0.61%"
"06/13/2023","536.6394","525.7828","538.3474","525.6176","","1.75%"
"06/12/2023","527.3916","538.0125","538.0125","525.1689","","-2.30%"
"06/09/2023","539.8088","543.7259","546.0210","539.6798","","-1.04%"
"06/08/2023","545.5062","547.2640","550.8444","535.8960","","-0.64%"
"06/07/2023","549.0141","546.6169","551.8905","543.2181","","0.15%"
"06/06/2023","548.1971","547.6926","549.8913","540.4746","","0.09%"
"06/05/2023","547.6926","545.5785","553.9201","545.5785","","0.39%"
"06/02/2023","545.5785","537.4065","546.4887","536.4104","","1.52%"
"06/01/2023","537.4066","528.2247","540.8286","526.4718","","1.74%"
