Date,Open,High,Low,Close,Adj Close,Volume
4/10/2006,546,548,541.359985,544.159973,544.159973,484738
4/11/2006,546.559998,547.119995,538.400024,545.599976,545.599976,162138
4/12/2006,545.76001,550.47998,542.47998,542.719971,542.719971,156038
4/13/2006,540,551.919983,539.200012,550.559998,550.559998,70088
4/17/2006,553.599976,559.200012,549.440002,558.320007,558.320007,114713
4/18/2006,560.799988,568.400024,556.559998,566,566,115338
4/19/2006,564.640015,577.280029,563.919983,574.799988,574.799988,98725
4/20/2006,575.359985,577.280029,564.080017,568.719971,568.719971,105400
4/21/2006,567.119995,585.840027,566.400024,582.47998,582.47998,133225
4/24/2006,571.200012,579.599976,566.320007,568.080017,568.080017,130288
4/25/2006,573.440002,574.47998,556.960022,565.119995,565.119995,356738
4/26/2006,563.52002,566.799988,555.599976,556.320007,556.320007,112400
4/27/2006,552.799988,556.640015,548.559998,549.599976,549.599976,79450
4/28/2006,554.080017,564,551.919983,556.960022,556.960022,108513
5/1/2006,561.200012,573.200012,560,572,572,69438
5/2/2006,574.719971,581.52002,570.719971,578.719971,578.719971,108875
5/3/2006,579.840027,579.840027,560,561.76001,561.76001,126875
5/4/2006,554.960022,558.159973,538.23999,546.559998,546.559998,194688
5/5/2006,546.400024,547.76001,541.440002,544,544,83900
5/8/2006,537.039978,543.919983,530.400024,543.039978,543.039978,164038
5/9/2006,543.919983,553.440002,542.080017,547.200012,547.200012,97875
5/10/2006,546.559998,558.159973,539.840027,558.159973,558.159973,88063
5/11/2006,568,568.400024,559.359985,562.400024,562.400024,129438
5/12/2006,563.52002,563.52002,552.320007,552.880005,552.880005,75950
5/15/2006,539.76001,542.159973,531.599976,533.039978,533.039978,83738
5/16/2006,536.559998,543.200012,530.47998,533.599976,533.599976,100250
5/17/2006,533.359985,534,523.119995,525.599976,525.599976,102838
5/18/2006,525.440002,534.320007,520.799988,533.919983,533.919983,82088
5/19/2006,528,531.679993,521.200012,524.559998,524.559998,101513
5/22/2006,519.119995,532.559998,519.119995,530.23999,530.23999,96213
5/23/2006,538,547.359985,537.679993,542.159973,542.159973,78863
5/24/2006,537.679993,543.440002,528.400024,528.799988,528.799988,50088
5/25/2006,533.440002,543.039978,530.47998,542.400024,542.400024,37538
5/26/2006,539.679993,545.840027,538.640015,542,542,33688
5/30/2006,549.76001,552.640015,545.76001,546.559998,546.559998,61175
5/31/2006,541.119995,543.280029,532.640015,541.840027,541.840027,58963
6/1/2006,534.719971,546,532.080017,534.559998,534.559998,115350
6/2/2006,542.080017,553.200012,540.400024,551.200012,551.200012,55438
6/5/2006,557.52002,558.23999,547.52002,549.919983,549.919983,49150
6/6/2006,544.719971,551.599976,542.400024,550.080017,550.080017,22475
6/7/2006,546.159973,546.640015,536.080017,538.23999,538.23999,45000
6/8/2006,532.23999,536.960022,526.47998,536.960022,536.960022,38538
6/9/2006,540,545.599976,540,544.559998,544.559998,42750
6/12/2006,547.119995,547.119995,534.880005,536.640015,536.640015,26650
6/13/2006,527.52002,529.840027,521.039978,521.440002,521.440002,75338
6/14/2006,524.080017,527.280029,520,526.320007,526.320007,41675
6/15/2006,530.799988,532.159973,527.599976,529.280029,529.280029,38588
6/16/2006,527.76001,531.76001,522,530,530,27338
6/19/2006,526.559998,526.880005,519.919983,524.320007,524.320007,23500
6/20/2006,527.280029,529.599976,519.359985,522.320007,522.320007,27050
6/21/2006,522.719971,533.840027,520.23999,530.799988,530.799988,30100
6/22/2006,533.52002,536.23999,529.52002,536,536,29675
6/23/2006,531.440002,537.679993,530.960022,535.119995,535.119995,14888
6/26/2006,533.359985,542.799988,532,541.599976,541.599976,23000
6/27/2006,545.039978,547.359985,541.039978,544.640015,544.640015,43425
6/28/2006,543.76001,549.76001,540.719971,546.47998,546.47998,30038
6/29/2006,546.799988,556.719971,546.47998,556.080017,556.080017,59875
6/30/2006,556.080017,560.159973,555.440002,558.159973,558.159973,32425
7/3/2006,561.679993,562.960022,559.440002,559.440002,559.440002,21013
